发卡行号,发卡行名,产品名,卡号长度,卡BIN长度,卡BIN取值,卡种代码,卡种
01000000,邮政储蓄银行,绿卡通,19,6,621096,1,借记卡
01000000,邮政储蓄银行,绿卡通,19,6,621098,1,借记卡
01000000,邮政储蓄银行,绿卡银联标准卡,19,6,622150,1,借记卡
01000000,邮政储蓄银行,绿卡银联标准卡,19,6,622151,1,借记卡
01000000,邮政储蓄银行,绿卡专用卡,19,6,622181,1,借记卡
01000000,邮政储蓄银行,绿卡银联标准卡,19,6,622188,1,借记卡
01000000,邮政储蓄银行,绿卡(银联卡),19,6,955100,1,借记卡
01000000,邮政储蓄银行,绿卡VIP卡,19,6,621095,1,借记卡
01000000,邮政储蓄银行,银联标准卡,19,6,620062,1,借记卡
01000000,邮政储蓄银行,中职学生资助卡,19,6,621285,1,借记卡
01000000,邮政储蓄银行,IC绿卡通VIP卡,19,6,621798,1,借记卡
01000000,邮政储蓄银行,IC绿卡通,19,6,621799,1,借记卡
01000000,邮政储蓄银行,IC联名卡,19,6,621797,1,借记卡
01000000,邮政储蓄银行,IC预付费卡,19,6,620529,4,预付费卡
01000000,邮政储蓄银行,绿卡银联标准卡,19,6,622199,1,借记卡
01004900,邮政储蓄银行,绿卡储蓄卡(银联卡),19,8,62215049,1,借记卡
01004900,邮政储蓄银行,绿卡储蓄卡(银联卡),19,8,62215050,1,借记卡
01004900,邮政储蓄银行,绿卡储蓄卡(银联卡),19,8,62215051,1,借记卡
01004900,邮政储蓄银行,绿卡储蓄卡(银联卡),19,8,62218850,1,借记卡
01004900,邮政储蓄银行,绿卡储蓄卡(银联卡),19,8,62218851,1,借记卡
01004900,邮政储蓄银行,绿卡储蓄卡(银联卡),19,8,62218849,1,借记卡
01009999,邮政储蓄银行,武警军人保障卡,19,6,621622,1,借记卡
01009999,邮政储蓄银行,福农卡,19,6,621599,1,借记卡
01009999,邮政储蓄银行,中国旅游卡(金卡),19,6,623219,1,借记卡
01009999,邮政储蓄银行,普通高中学生资助卡,19,6,621674,1,借记卡
01009999,邮政储蓄银行,中国旅游卡(普卡),19,6,623218,1,借记卡
01020000,中国工商银行,牡丹运通卡金卡,15,6,370246,2,贷记卡
01020000,中国工商银行,牡丹运通卡金卡,15,6,370248,2,贷记卡
01020000,中国工商银行,牡丹运通卡金卡,15,6,370249,2,贷记卡
01020000,中国工商银行,牡丹VISA卡(单位卡),16,6,427010,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427018,2,贷记卡
01020000,中国工商银行,牡丹VISA卡(单位卡),16,6,427019,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427020,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427029,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427030,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427039,2,贷记卡
01020000,中国工商银行,牡丹运通卡普通卡,15,6,370247,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,438125,2,贷记卡
01020000,中国工商银行,牡丹VISA白金卡,16,6,438126,2,贷记卡
01020000,中国工商银行,牡丹贷记卡(银联卡),16,6,451804,2,贷记卡
01020000,中国工商银行,牡丹贷记卡(银联卡),16,6,451810,2,贷记卡
01020000,中国工商银行,牡丹贷记卡(银联卡),16,6,451811,2,贷记卡
01020000,中国工商银行,牡丹信用卡(银联卡),16,5,45806,2,贷记卡
01020000,中国工商银行,牡丹贷记卡(银联卡),16,6,458071,2,贷记卡
01020000,中国工商银行,牡丹欧元卡,16,6,489734,2,贷记卡
01020000,中国工商银行,牡丹欧元卡,16,6,489735,2,贷记卡
01020000,中国工商银行,牡丹欧元卡,16,6,489736,2,贷记卡
01020000,中国工商银行,牡丹万事达国际借记卡,16,6,510529,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427062,2,贷记卡
01020000,中国工商银行,海航信用卡,16,6,524091,2,贷记卡
01020000,中国工商银行,牡丹VISA信用卡,16,6,427064,2,贷记卡
01020000,中国工商银行,牡丹万事达信用卡,16,6,530970,2,贷记卡
01020000,中国工商银行,牡丹信用卡(银联卡),16,5,53098,2,贷记卡
01020000,中国工商银行,牡丹万事达信用卡,16,6,530990,2,贷记卡
01020000,中国工商银行,牡丹万事达信用卡,16,6,558360,2,贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620200,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620302,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620402,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620403,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620404,1,借记卡
01020000,中国工商银行,牡丹万事达白金卡,16,6,524047,2,贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620406,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620407,1,借记卡
01020000,中国工商银行,海航信用卡个人普卡,16,6,525498,2,贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620409,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620410,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620411,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620412,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620502,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620503,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620405,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620408,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620512,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620602,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620604,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620607,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620611,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620612,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620704,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620706,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620707,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620708,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620709,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620710,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620609,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620712,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620713,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620714,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620802,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620711,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620904,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620905,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621001,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,620902,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621103,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621105,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621106,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621107,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621102,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621203,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621204,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621205,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621206,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621207,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621208,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621209,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621210,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621302,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621303,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621202,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621305,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621306,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621307,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621309,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621311,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621313,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621211,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621315,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621304,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621402,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621404,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621405,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621406,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621407,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621408,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621409,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621410,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621502,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621317,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621511,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621602,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621603,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621604,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621605,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621608,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621609,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621610,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621611,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621612,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621613,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621614,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621615,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621616,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621617,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621607,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621606,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621804,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621807,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621813,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621814,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621817,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621901,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621904,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621905,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621906,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621907,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621908,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621909,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621910,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621911,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621912,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621913,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621915,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622002,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621903,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622004,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622005,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622006,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622007,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622008,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622010,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622011,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622012,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,621914,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622015,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622016,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622003,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622018,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622019,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622020,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622102,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622103,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622104,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622105,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622013,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622111,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622114,1,借记卡
01020000,中国工商银行,灵通卡,19,6,622200,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622017,1,借记卡
01020000,中国工商银行,E时代卡,19,6,622202,1,借记卡
01020000,中国工商银行,E时代卡,19,6,622203,1,借记卡
01020000,中国工商银行,理财金卡,19,6,622208,1,借记卡
01020000,中国工商银行,准贷记卡(个普),16,6,622210,3,准贷记卡
01020000,中国工商银行,准贷记卡(个普),16,6,622211,3,准贷记卡
01020000,中国工商银行,准贷记卡(个普),16,6,622212,3,准贷记卡
01020000,中国工商银行,准贷记卡(个普),16,6,622213,3,准贷记卡
01020000,中国工商银行,准贷记卡(个普),16,6,622214,3,准贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622110,1,借记卡
01020000,中国工商银行,准贷记卡(商普),16,6,622220,3,准贷记卡
01020000,中国工商银行,牡丹卡(商务卡),16,6,622223,3,准贷记卡
01020000,中国工商银行,准贷记卡(商金),16,6,622225,3,准贷记卡
01020000,中国工商银行,牡丹卡(商务卡),16,6,622229,3,准贷记卡
01020000,中国工商银行,贷记卡(个普),16,6,622230,2,贷记卡
01020000,中国工商银行,牡丹卡(个人卡),16,6,622231,2,贷记卡
01020000,中国工商银行,牡丹卡(个人卡),16,6,622232,2,贷记卡
01020000,中国工商银行,牡丹卡(个人卡),16,6,622233,2,贷记卡
01020000,中国工商银行,牡丹卡(个人卡),16,6,622234,2,贷记卡
01020000,中国工商银行,贷记卡(个金),16,6,622235,2,贷记卡
01020000,中国工商银行,牡丹交通卡,16,6,622237,2,贷记卡
01020000,中国工商银行,准贷记卡(个金),16,6,622215,3,准贷记卡
01020000,中国工商银行,牡丹交通卡,16,6,622239,2,贷记卡
01020000,中国工商银行,贷记卡(商普),16,6,622240,2,贷记卡
01020000,中国工商银行,贷记卡(商金),16,6,622245,2,贷记卡
01020000,中国工商银行,牡丹卡(商务卡),16,6,622224,3,准贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622303,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622304,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622305,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622306,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622307,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622308,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622309,1,借记卡
01020000,中国工商银行,牡丹交通卡,16,6,622238,2,贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622314,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622315,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622317,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622302,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622402,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622403,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622404,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622313,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622504,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622505,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622509,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622513,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622517,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622502,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622604,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622605,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622606,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622510,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622703,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622715,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622806,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622902,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622903,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622706,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623002,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623006,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623008,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623011,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623012,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,622904,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623015,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623100,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623202,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623301,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623400,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623500,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623602,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623803,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623901,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623014,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,624100,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,624200,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,624301,1,借记卡
01020000,中国工商银行,牡丹灵通卡,18,6,624402,1,借记卡
01020000,中国工商银行,牡丹贷记卡,16,8,62451804,2,贷记卡
01020000,中国工商银行,牡丹贷记卡,16,8,62451810,2,贷记卡
01020000,中国工商银行,牡丹贷记卡,16,8,62451811,2,贷记卡
01020000,中国工商银行,牡丹信用卡,16,7,6245806,2,贷记卡
01020000,中国工商银行,牡丹贷记卡,16,8,62458071,2,贷记卡
01020000,中国工商银行,牡丹信用卡,16,7,6253098,2,贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,623700,1,借记卡
01020000,中国工商银行,中央预算单位公务卡,16,6,628288,2,贷记卡
01020000,中国工商银行,牡丹灵通卡,18,6,624000,1,借记卡
01020000,中国工商银行,牡丹灵通卡(银联卡),19,4,9558,1,借记卡
01020000,中国工商银行,财政预算单位公务卡,16,6,628286,2,贷记卡
01020000,中国工商银行,牡丹卡白金卡,16,6,622206,2,贷记卡
01020000,中国工商银行,牡丹卡普卡,19,6,621225,1,借记卡
01020000,中国工商银行,国航知音牡丹信用卡,16,6,526836,2,贷记卡
01020000,中国工商银行,国航知音牡丹信用卡,16,6,513685,2,贷记卡
01020000,中国工商银行,国航知音牡丹信用卡,16,6,543098,2,贷记卡
01020000,中国工商银行,国航知音牡丹信用卡,16,6,458441,2,贷记卡
01020000,中国工商银行,银联标准卡,19,6,620058,1,借记卡
01020000,中国工商银行,中职学生资助卡,19,6,621281,1,借记卡
01020000,中国工商银行,专用信用消费卡,16,6,622246,2,贷记卡
01020000,中国工商银行,牡丹社会保障卡,19,6,900000,1,借记卡
01020000,中国工商银行,牡丹东航联名卡,16,6,544210,2,贷记卡
01020000,中国工商银行,牡丹东航联名卡,16,6,548943,2,贷记卡
01020000,中国工商银行,牡丹运通白金卡,15,6,370267,2,贷记卡
01020000,中国工商银行,福农灵通卡,19,6,621558,1,借记卡
01020000,中国工商银行,福农灵通卡,19,6,621559,1,借记卡
01020000,中国工商银行,灵通卡,19,6,621722,1,借记卡
01020000,中国工商银行,灵通卡,19,6,621723,1,借记卡
01020000,中国工商银行,中国旅行卡,19,6,620086,1,借记卡
01020000,中国工商银行,牡丹卡普卡,19,6,621226,1,借记卡
01020000,中国工商银行,国际借记卡,16,6,402791,1,借记卡
01020000,中国工商银行,国际借记卡,16,6,427028,1,借记卡
01020000,中国工商银行,国际借记卡,16,6,427038,1,借记卡
01020000,中国工商银行,国际借记卡,16,6,548259,1,借记卡
01020000,中国工商银行,牡丹JCB信用卡,16,6,356879,2,贷记卡
01020000,中国工商银行,牡丹JCB信用卡,16,6,356880,2,贷记卡
01020000,中国工商银行,牡丹JCB信用卡,16,6,356881,2,贷记卡
01020000,中国工商银行,牡丹JCB信用卡,16,6,356882,2,贷记卡
01020000,中国工商银行,牡丹多币种卡,16,6,528856,2,贷记卡
01020000,中国工商银行,武警军人保障卡,19,6,621618,1,借记卡
01020000,中国工商银行,预付芯片卡,19,6,620516,1,借记卡
01020000,中国工商银行,理财金账户金卡,19,6,621227,1,借记卡
01020000,中国工商银行,灵通卡,19,6,621721,1,借记卡
01020000,中国工商银行,牡丹宁波市民卡,19,6,900010,1,借记卡
01020000,中国工商银行,中国旅游卡,16,6,625330,2,贷记卡
01020000,中国工商银行,中国旅游卡,16,6,625331,2,贷记卡
01020000,中国工商银行,中国旅游卡,16,6,625332,2,贷记卡
01020000,中国工商银行,借记卡,19,6,623062,1,借记卡
01020000,中国工商银行,借贷合一卡,16,6,622236,2,贷记卡
01020000,中国工商银行,普通高中学生资助卡,19,6,621670,1,借记卡
01020000,中国工商银行,牡丹多币种卡,16,6,524374,2,贷记卡
01020000,中国工商银行,牡丹多币种卡,16,6,550213,2,贷记卡
01020000,中国工商银行,IC金卡,16,6,625865,2,贷记卡
01020000,中国工商银行,IC白金卡,16,6,625866,2,贷记卡
01020000,中国工商银行,牡丹百夫长信用卡,15,6,374738,2,贷记卡
01020000,中国工商银行,牡丹百夫长信用卡,15,6,374739,2,贷记卡
01020000,中国工商银行,工银财富卡,19,6,621288,1,借记卡
01020000,中国工商银行,中小商户采购卡,16,6,625708,2,贷记卡
01020000,中国工商银行,中小商户采购卡,16,6,625709,2,贷记卡
01020000,中国工商银行,环球旅行金卡,16,6,622597,2,贷记卡
01020000,中国工商银行,环球旅行白金卡,16,6,622599,2,贷记卡
01020000,中国工商银行,工行IC卡(红卡),16,6,625899,2,贷记卡
01020000,中国工商银行,牡丹工银大来卡,14,6,360883,2,贷记卡
01020000,中国工商银行,牡丹工银大莱卡,14,6,360884,2,贷记卡
01020056,中国工商银行布鲁塞尔分行,贷记卡,16,6,625929,2,贷记卡
01020056,中国工商银行布鲁塞尔分行,借记卡,16,6,621376,1,借记卡
01020056,中国工商银行布鲁塞尔分行,预付卡,16,6,620054,4,预付费卡
01020056,中国工商银行布鲁塞尔分行,预付卡,16,6,620142,4,预付费卡
01020076,中国工商银行(巴西),借记卡,16,6,621423,1,借记卡
01020076,中国工商银行(巴西),贷记卡,16,6,625927,2,贷记卡
01020116,中国工商银行金边分行,借记卡,16,6,621428,1,借记卡
01020116,中国工商银行金边分行,信用卡,16,6,625939,2,贷记卡
01020116,中国工商银行金边分行,借记卡,16,6,621434,1,借记卡
01020116,中国工商银行金边分行,信用卡,16,6,625987,2,贷记卡
01020124,中国工商银行加拿大分行,借记卡,16,6,621761,1,借记卡
01020124,中国工商银行加拿大分行,借记卡,16,6,621749,1,借记卡
01020124,中国工商银行加拿大分行,预付卡,16,6,620184,4,预付费卡
01020124,中国工商银行加拿大分行,贷记卡,16,6,625930,2,贷记卡
01020250,中国工商银行巴黎分行,借记卡,16,6,621300,1,借记卡
01020250,中国工商银行巴黎分行,借记卡,16,6,621378,1,借记卡
01020250,中国工商银行巴黎分行,贷记卡,16,6,625114,2,贷记卡
01020276,中国工商银行法兰克福分行,贷记卡,16,6,622159,2,贷记卡
01020276,中国工商银行法兰克福分行,借记卡,19,6,621720,1,借记卡
01020276,中国工商银行法兰克福分行,贷记卡,16,6,625021,2,贷记卡
01020276,中国工商银行法兰克福分行,贷记卡,16,6,625022,2,贷记卡
01020276,中国工商银行法兰克福分行,贷记卡,16,6,625932,2,贷记卡
01020276,中国工商银行法兰克福分行,借记卡,19,6,621379,1,借记卡
01020276,中国工商银行法兰克福分行,预付卡,19,6,620114,4,预付费卡
01020276,中国工商银行法兰克福分行,预付卡,19,6,620146,4,预付费卡
01020344,中国工商银行(亚洲),ICBC(Asia) Credit,16,6,622889,2,贷记卡
01020344,中国工商银行(亚洲),ICBC Credit Card,16,6,625900,2,贷记卡
01020344,中国工商银行(亚洲),EliteClubATMCard,16,6,622949,1,借记卡
01020344,中国工商银行(亚洲),港币信用卡,16,6,625915,2,贷记卡
01020344,中国工商银行(亚洲),港币信用卡,16,6,625916,2,贷记卡
01020344,中国工商银行(亚洲),工银亚洲预付卡,16,6,620030,4,预付费卡
01020344,中国工商银行(亚洲),预付卡,16,6,620050,4,预付费卡
01020344,中国工商银行(亚洲),CNYEasylinkCard,16,6,622944,1,借记卡
01020344,中国工商银行(亚洲),工银银联公司卡,16,6,625115,2,贷记卡
01020360,中国工商银行印尼分行,印尼盾复合卡,16,6,622171,2,贷记卡
01020360,中国工商银行印尼分行,借记卡,19,6,621240,1,借记卡
01020360,中国工商银行印尼分行,借记卡,19,6,621724,1,借记卡
01020360,中国工商银行印尼分行,贷记卡,16,6,625931,2,贷记卡
01020360,中国工商银行印尼分行,借记卡,19,6,621762,1,借记卡
01020360,中国工商银行印尼分行,信用卡,16,6,625918,2,贷记卡
01020380,中国工商银行米兰分行,贷记卡,16,6,625113,2,贷记卡
01020380,中国工商银行米兰分行,借记卡,16,6,621371,1,借记卡
01020380,中国工商银行米兰分行,预付卡,16,6,620143,4,预付费卡
01020380,中国工商银行米兰分行,预付卡,16,6,620149,4,预付费卡
01020392,中国工商银行东京分行,工行东京借记卡,16,6,621730,1,借记卡
01020398,中国工商银行阿拉木图子行,贷记卡,16,6,625928,2,贷记卡
01020398,中国工商银行阿拉木图子行,借记卡,19,6,621414,1,借记卡
01020398,中国工商银行阿拉木图子行,贷记卡,16,6,625914,2,贷记卡
01020398,中国工商银行阿拉木图子行,借记卡,19,6,621375,1,借记卡
01020398,中国工商银行阿拉木图子行,预付卡,19,6,620187,4,预付费卡
01020410,中国工商银行首尔分行,借记卡,16,6,621734,1,借记卡
01020418,中国工商银行万象分行,借记卡,16,6,621433,1,借记卡
01020418,中国工商银行万象分行,贷记卡,16,6,625986,2,贷记卡
01020442,中国工商银行卢森堡分行,借记卡,16,6,621370,1,借记卡
01020442,中国工商银行卢森堡分行,贷记卡,16,6,625925,2,贷记卡
01020446,中国工商银行澳门分行,E时代卡,19,6,622926,1,借记卡
